model,preset,thr,precision,recall,f1,coverage,queries
embedding-data/deberta-sentence-transformer,E_diversity,-0.95,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.9,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.85,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.8,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.75,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.7,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.6499999999999999,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.6,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.55,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.5,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.44999999999999996,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.3999999999999999,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.35,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.29999999999999993,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.25,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.19999999999999996,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.1499999999999999,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.09999999999999998,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,-0.04999999999999993,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.0,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.050000000000000044,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.10000000000000009,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.15000000000000013,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.20000000000000018,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.25,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.30000000000000004,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.3500000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.40000000000000013,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.4500000000000002,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.5,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.55,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.6000000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.6500000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.7000000000000002,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.75,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.8,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.8500000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,0.9000000000000001,0.11764705882352941,1.0,0.21052631578947367,0.9883720930232558,86
embedding-data/deberta-sentence-transformer,E_diversity,0.9500000000000002,0.12195121951219512,1.0,0.21739130434782605,0.9534883720930233,86
embedding-data/deberta-sentence-transformer,E_diversity,1.0,0.13513513513513514,1.0,0.2380952380952381,0.8604651162790697,86
embedding-data/deberta-sentence-transformer,F_recall_first,-1.0,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.95,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.9,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.85,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.8,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.75,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.7,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.6499999999999999,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.6,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.55,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.5,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.44999999999999996,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.3999999999999999,0.10465116279069768,1.0,0.18947368421052632,1.0,86
