model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,5,0.08604651162790698,0.22093023255813954,0.12347729789590259,0.2040854686400267,0.16201550387596897,0.2753552971576227,0.3488372093023256,1.0,86
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,10,0.05116279069767441,0.26744186046511625,0.08562367864693447,0.2210191954311379,0.17002353266888148,0.2753552971576227,0.3953488372093023,1.0,86
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,0.23255813953488372,0.12209302325581395,0.15891472868217052,0.23255813953488372,0.23255813953488372,0.2826042820228866,0.23255813953488372,1.0,86
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,0.11240310077519379,0.1744186046511628,0.13604651162790699,0.18290785899297118,0.14728682170542637,0.2826042820228866,0.313953488372093,1.0,86
sentence-transformers/all-distilroberta-v1,J_char_heavy,5,0.08837209302325583,0.22674418604651161,0.1267995570321152,0.20835576869681144,0.1632751937984496,0.2826042820228866,0.37209302325581395,1.0,86
sentence-transformers/all-distilroberta-v1,J_char_heavy,10,0.05232558139534884,0.27325581395348836,0.0875616631430585,0.22627843637616693,0.1739802510151347,0.2826042820228866,0.3953488372093023,1.0,86
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,0.09302325581395349,0.046511627906976744,0.06201550387596899,0.09302325581395349,0.09302325581395349,0.18726928755998526,0.09302325581395349,1.0,86
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,0.08914728682170542,0.13372093023255813,0.10697674418604651,0.11891039983175485,0.0939922480620155,0.18726928755998526,0.22093023255813954,1.0,86
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,0.07441860465116279,0.18604651162790697,0.106312292358804,0.14467075616121475,0.1064922480620155,0.18726928755998526,0.313953488372093,1.0,86
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,0.059302325581395345,0.3081395348837209,0.09918957011980269,0.18932432082311482,0.12546373200442967,0.18726928755998526,0.46511627906976744,1.0,86
sentence-transformers/all-mpnet-base-v2,B_hybrid_light,1,0.16279069767441862,0.0872093023255814,0.11240310077519379,0.16279069767441862,0.16279069767441862,0.2213455149501661,0.16279069767441862,1.0,86
sentence-transformers/all-mpnet-base-v2,B_hybrid_light,3,0.08914728682170542,0.13953488372093023,0.10813953488372094,0.14199710626170228,0.11434108527131781,0.2213455149501661,0.2441860465116279,1.0,86
sentence-transformers/all-mpnet-base-v2,B_hybrid_light,5,0.07441860465116279,0.19186046511627908,0.10686600221483945,0.16900724909364098,0.13265503875968992,0.2213455149501661,0.3023255813953488,1.0,86
sentence-transformers/all-mpnet-base-v2,B_hybrid_light,10,0.04418604651162791,0.22674418604651161,0.07381959126145174,0.1829865551399775,0.13898117386489478,0.2213455149501661,0.3488372093023256,1.0,86
sentence-transformers/all-mpnet-base-v2,C_lex_sem_strong,1,0.20930232558139536,0.11046511627906977,0.14341085271317827,0.20930232558139536,0.20930232558139536,0.2529208194905869,0.20930232558139536,1.0,86
sentence-transformers/all-mpnet-base-v2,C_lex_sem_strong,3,0.10077519379844962,0.1569767441860465,0.12209302325581398,0.1641503334956984,0.1327519379844961,0.2529208194905869,0.27906976744186046,1.0,86
sentence-transformers/all-mpnet-base-v2,C_lex_sem_strong,5,0.07209302325581396,0.18604651162790697,0.10354374307862682,0.17887823806844685,0.14234496124031007,0.2529208194905869,0.313953488372093,1.0,86
sentence-transformers/all-mpnet-base-v2,C_lex_sem_strong,10,0.04418604651162791,0.22674418604651161,0.07381959126145175,0.1956455544176132,0.15073135843484678,0.2529208194905869,0.36046511627906974,1.0,86
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,1,0.19767441860465115,0.10465116279069768,0.13565891472868216,0.19767441860465115,0.19767441860465115,0.24996308600959763,0.19767441860465115,1.0,86
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,3,0.09689922480620154,0.1511627906976744,0.1174418604651163,0.15795419417112114,0.12790697674418605,0.24996308600959763,0.26744186046511625,1.0,86
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,5,0.07209302325581396,0.18604651162790697,0.10354374307862685,0.17637755155990653,0.13953488372093023,0.24996308600959763,0.313953488372093,1.0,86
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,10,0.04534883720930233,0.23255813953488372,0.07575757575757577,0.19504270799691442,0.14747600590623847,0.24996308600959763,0.38372093023255816,1.0,86
